blogs,Rating,Discussion of Costs,Quantification of Benefits,Explanation/Quantification of Harms
https://www.healthnewsreview.org/review/cnn-speculates-about-benefits-of-preliminary-research-finding-on-potential-cte-biomarker/,4,Not Applicable,Not Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/independent-source-bolsters-nprs-report-on-oral-food-challenges-for-allergies/,4,Not Satisfactory,Satisfactory,Satisfactory
https://www.healthnewsreview.org/review/sleep-deprivation-for-depression-philadelphia-inquirer-gives-readers-needed-context-on-study-limitations/,4,Not Satisfactory,Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/is-one-study-of-51-men-enough-to-declare-two-week-diet-is-better-for-dropping-pounds/,3,Not Satisfactory,Not Satisfactory,Not Applicable
https://www.healthnewsreview.org/review/aps-story-on-cancer-immunotherapy-quickly-mentions-low-success-rate/,4,Not Satisfactory,Not Satisfactory,Satisfactory
https://www.healthnewsreview.org/review/abc-news-touts-affordability-of-at-home-brca-test-without-delving-into-any-drawbacks/,3,Satisfactory,Not Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/solid-report-from-nyt-on-new-peanut-product-that-claims-to-reduce-allergy-risk/,5,Satisfactory,Satisfactory,Satisfactory
https://www.healthnewsreview.org/review/reuters-health-deftly-reports-new-data-on-hormone-therapy-for-menopause/,5,Not Satisfactory,Not Applicable,Satisfactory
https://www.healthnewsreview.org/review/u-s-news-compares-accuracy-of-colon-cancer-screening-tests-but-what-about-costs/,3,Not Satisfactory,Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/guardian-leaves-out-a-key-potential-conflict-of-interest-in-story-on-statins-and-risk-of-heart-disease-death/,2,Not Satisfactory,Not Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/healthday-cautiously-reports-results-of-opdivo-melanoma-study/,4,Not Satisfactory,Satisfactory,Satisfactory
https://www.healthnewsreview.org/review/stat-provides-readers-with-necessary-details-to-make-sense-of-new-psa-screening-study/,4,Not Satisfactory,Satisfactory,Satisfactory
https://www.healthnewsreview.org/review/la-times-portrays-psa-screening-analysis-as-far-more-clear-cut-and-definite-than-even-the-authors-claim/,3,Not Satisfactory,Not Satisfactory,Satisfactory
https://www.healthnewsreview.org/review/anecdotes-dominate-aps-story-on-emts-using-nitrous-oxide-for-pain-relief/,3,Satisfactory,Not Satisfactory,Satisfactory
https://www.healthnewsreview.org/review/washington-posts-otherwise-well-reported-story-on-ecstasy-for-ptsd-skirts-evidence-discussion/,4,Not Satisfactory,Not Satisfactory,Satisfactory
https://www.healthnewsreview.org/review/times-look-at-new-heart-drug-overlooks-high-price-and-potentially-fatal-risks/,3,Not Satisfactory,Not Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/in-coverage-of-anti-inflammatory-heart-drug-from-novartis-reuters-keeps-it-real/,4,Satisfactory,Not Satisfactory,Satisfactory
https://www.healthnewsreview.org/review/reuters-doesnt-dig-deep-enough-into-fdas-approval-of-new-parkinsons-drug-gocovri/,2,Not Satisfactory,Not Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/ny-times-touts-compelling-results-for-unproven-hair-loss-product/,3,Satisfactory,Not Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/new-therapy-may-cure-peanut-allergy-time-unwisely-speculates-again/,2,Not Satisfactory,Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/nbc-news-doesnt-back-away-from-shortcomings-of-new-blood-test-for-early-cancer-detection/,5,Satisfactory,Satisfactory,Satisfactory
https://www.healthnewsreview.org/review/strong-recap-on-cancer-blood-test-should-have-challenged-survival-claims/,4,Satisfactory,Not Satisfactory,Satisfactory
https://www.healthnewsreview.org/review/abc-news-story-new-als-drug-included-many-caveats-except-important-one/,3,Satisfactory,Not Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/nbc-news-says-gene-test-may-help-treat-depression-but-doesnt-back-up-claim/,2,Satisfactory,Not Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/managing-mummy-tummy-more-study-details-wouldve-tightened-informative-npr-piece/,3,Satisfactory,Not Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/ap-story-says-new-drug-cures-hepatitis-c-but-thats-no-guarantee-patients-will-be-spared-cirrhosis-or-liver-cancer/,3,Satisfactory,Not Satisfactory,Satisfactory
https://www.healthnewsreview.org/review/cautious-tone-underpins-healthdays-story-on-experimental-treatment-to-reduce-kidney-transplant-rejection/,4,Not Satisfactory,Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/stat-puts-950-dna-based-fertility-test-under-the-microscope/,5,Satisfactory,Satisfactory,Satisfactory
https://www.healthnewsreview.org/review/more-discussion-of-studys-limitations-needed-in-nprs-story-on-chronic-fatigue-test/,3,Not Satisfactory,Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/do-pet-scans-improve-dementia-diagnosis-la-times-story-overlooks-harms-of-screening/,3,Satisfactory,Not Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/stem-cell-brain-implants-what-could-go-wrong-guardian-doesnt-say/,4,Not Applicable,Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/vox-says-experimental-hiv-vaccine-is-promising-but-is-it/,4,Not Satisfactory,Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/needle-free-vaccines-nprs-story-is-solid-effort-but-needed-more-on-the-medical-evidence-behind-the-claims/,3,Satisfactory,Not Satisfactory,Satisfactory
https://www.healthnewsreview.org/review/to-taper-or-not-to-taper-off-opioids-vox-lays-out-strengths-and-weaknesses-of-new-study/,5,Not Applicable,Not Satisfactory,Satisfactory
https://www.healthnewsreview.org/review/laser-treatment-for-eye-floaters-healthday-notes-small-study-size-but-not-cost-or-risks/,3,Not Satisfactory,Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/despite-misleading-headline-newsweek-presents-balanced-account-of-a-familys-unconventional-struggle-with-cancer/,4,Not Satisfactory,Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/new-heart-imaging-method-may-predict-heart-attack/,2,Not Satisfactory,Not Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/washington-post-wisely-lets-readers-known-new-cancer-therapy-may-cost-at-least-300000/,4,Satisfactory,Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/vaccine-shows-protection-against-gonorrhea-stat-reports-but-what-about-the-costs-and-potential-harms/,4,Not Satisfactory,Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/two-big-studies-bolster-claim-coffee-even-decaf-good/,4,Not Applicable,Not Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/its-misleading-to-call-results-from-phase-1-trials-with-6-and-13-patients-a-cancer-breakthrough/,4,Not Satisfactory,Satisfactory,Satisfactory
https://www.healthnewsreview.org/review/emailed-help-for-smoking-cessation/,5,Not Applicable,Satisfactory,Satisfactory
https://www.healthnewsreview.org/review/washington-post-deftly-examines-lack-of-evidence-for-a-fuzzy-area-of-psychiatry-animal-therapy/,5,Not Satisfactory,Satisfactory,Satisfactory
https://www.healthnewsreview.org/review/reuters-turns-unpublished-pilot-studies-on-ovarian-cancer-test-into-news/,2,Not Satisfactory,Not Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/preeclampsia-and-aspirin-healthday-does-solid-job-covering-new-study-findings/,5,Not Applicable,Not Satisfactory,Satisfactory
https://www.healthnewsreview.org/review/buzzfeed-offers-refreshing-candor-in-explainer-piece-on-female-condom/,5,Satisfactory,Satisfactory,Satisfactory
https://www.healthnewsreview.org/review/wsjs-look-at-digital-therapy-covers-a-lot-of-ground-except-potential-downsides/,4,Satisfactory,Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/when-a-source-wasnt-part-of-the-research-but-does-accept-money-from-the-drug-company-its-still-a-conflict-of-interest/,3,Not Satisfactory,Not Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/though-light-on-data-u-s-news-world-report-story-covers-lack-of-evidence-for-arthroscopic-knee-surgery/,4,Not Satisfactory,Not Satisfactory,Satisfactory
https://www.healthnewsreview.org/review/cbs-news-says-yoga-as-good-as-physical-therapy-ok-but-what-does-good-mean/,2,Not Satisfactory,Not Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/acupuncture-in-the-er-no-study-did-not-prove-it-was-safe-and-effective/,2,Not Satisfactory,Not Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/for-story-on-experimental-prostate-cancer-blood-test-guardian-leans-heavily-on-news-release/,1,Not Satisfactory,Not Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/o-shot-incontinence-fix-inquirer-clearly-sets-out-lack-of-scientific-support-for-procedure/,5,Satisfactory,Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/small-unpublished-study-on-new-knee-pain-procedure-needed-more-scrutiny-from-nbc-news/,4,Satisfactory,Not Satisfactory,Satisfactory
https://www.healthnewsreview.org/review/washington-posts-look-at-silicon-valley-smart-drugs-needed-a-stronger-shot-of-skepticism/,3,Not Satisfactory,Not Satisfactory,Satisfactory
https://www.healthnewsreview.org/review/speculation-overshadows-caution-in-healthdays-snake-venom-derived-blood-thinner-story/,3,Not Satisfactory,Not Satisfactory,Satisfactory
https://www.healthnewsreview.org/review/newsweek-says-new-vaccine-could-stop-heroin-abuse-in-four-monkeys-at-least/,3,Not Applicable,Not Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/strong-on-context-light-on-data-reuters-health-story-on-chondroitin-for-knee-pai/,3,Not Satisfactory,Not Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/time-takes-cautious-approach-with-probiotics-for-depression-study/,4,Not Satisfactory,Not Satisfactory,Satisfactory
https://www.healthnewsreview.org/review/bloomberg-offers-up-balanced-recap-of-new-breast-cancer-therapy/,5,Satisfactory,Satisfactory,Satisfactory
https://www.healthnewsreview.org/review/positive-anecdotes-dominate-philadelphia-inquirer-story-on-urolift-for-enlarged-prostate/,3,Satisfactory,Not Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/immunotherapys-new-era-la-times-story-overlooks-the-risks-and-overstates-trial-results/,2,Satisfactory,Not Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/cannabidiol-slashes-seizures-kids-rare-epilepsy-study-finds/,5,Not Satisfactory,Satisfactory,Satisfactory
https://www.healthnewsreview.org/review/newsweek-speculates-about-an-obesity-cure-and-doesnt-disclose-important-conflict-of-interest/,2,Not Satisfactory,Not Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/cautions-and-caveats-help-buoy-guardian-story-on-using-high-platelet-count-for-cancer-detection/,4,Not Satisfactory,Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/could-an-expensive-chemotherapy-drug-treat-severe-asthma-its-too-soon-to-ask/,4,Satisfactory,Not Satisfactory,Satisfactory
https://www.healthnewsreview.org/review/keytruda-bladder-cancer-no-independent-scrutiny-merck-reported-results/,3,Not Satisfactory,Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/bloomberg-story-provides-clear-eyed-view-of-trendy-neurofeedback-brain-training-clinics/,5,Satisfactory,Satisfactory,Satisfactory
https://www.healthnewsreview.org/review/how-solid-is-the-evidence-for-a-new-implantable-sleep-apnea-device-nbcs-story-doesnt-say/,3,Satisfactory,Not Satisfactory,Satisfactory
https://www.healthnewsreview.org/review/baby-aspirin-may-reduce-risk-of-breast-cancer-says-washington-post-omitting-some-major-limitations-of-the-study/,3,Not Applicable,Not Satisfactory,Satisfactory
https://www.healthnewsreview.org/review/blood-thinners-may-prevent-dementia-in-atrial-fibrillation-patients-or-they-may-not/,3,Not Satisfactory,Not Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/usa-today-story-based-on-one-anecdote-serves-as-promotional-megaphone-for-microsoft/,2,Not Applicable,Not Satisfactory,Not Applicable
https://www.healthnewsreview.org/review/except-for-needing-more-sources-reuters-health-story-on-graves-disease-is-well-reported/,4,Not Satisfactory,Satisfactory,Satisfactory
https://www.healthnewsreview.org/review/marijuana-and-memory-newsweek-writes-about-mouse-research-but-is-at-least-upfront-about-it/,4,Not Satisfactory,Not Satisfactory,Satisfactory
https://www.healthnewsreview.org/review/npr-suggests-experimental-concussion-spit-test-can-improve-care-but-thats-not-what-researchers-looked-at/,3,Not Satisfactory,Not Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/a-pat-on-the-back-to-healthday-for-thorough-report-on-ulcerative-colitis-drug/,5,Not Satisfactory,Satisfactory,Satisfactory
https://www.healthnewsreview.org/review/potential-cancer-detecting-breath-test-gets-breathless-write-up-in-new-york-times/,2,Not Satisfactory,Not Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/interesting-postpartum-depression-study-results-reported-in-the-guardian-but-have-they-actually-been-published/,2,Not Satisfactory,Not Satisfactory,Not Applicable
https://www.healthnewsreview.org/review/stats-cautious-story-provides-interesting-insights-into-challenges-of-alzheimers-research/,5,Not Applicable,Satisfactory,Satisfactory
https://www.healthnewsreview.org/review/loaded-words-game-changer-holy-grail-groundbreaking-sprinkled-throughout-philly-inquirer-story-on-ocular-melanoma-treatment/,3,Not Satisfactory,Not Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/informative-journalism-or-promotional-puff-piece-u-s-news-world-report-blurs-the-line/,2,Satisfactory,Not Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/wsj-story-on-procedure-for-enlarged-prostate-needed-input-from-sources-with-no-ties-to-company/,3,Satisfactory,Not Satisfactory,Satisfactory
https://www.healthnewsreview.org/review/cnn-avoids-making-slimy-claims-about-preliminary-study-using-frog-peptides-to-kill-flu-viruses/,5,Not Applicable,Satisfactory,Not Applicable
https://www.healthnewsreview.org/review/no-new-york-times-a-pacemaker-for-the-brain-cant-help-memory-yet/,3,Not Satisfactory,Not Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/fda-anbcs-single-source-report-on-device-for-treating-cluster-headaches-lacks-balance/,2,Not Satisfactory,Not Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/cbss-anecdotal-story-on-botox-for-major-depression-omits-major-conflicts-of-interest/,2,Satisfactory,Not Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/ap-story-on-trans-fat-ban-strong-on-sourcing-but-left-out-important-detail-about-study-findings/,5,Not Applicable,Satisfactory,Not Applicable
https://www.healthnewsreview.org/review/that-finding-could-be-due-to-chance-reuters-health-uses-caution-to-explain-study-on-trans-fats-ban/,5,Not Applicable,Satisfactory,Not Applicable
https://www.healthnewsreview.org/review/lack-of-independent-sources-hinders-ap-story-on-new-drug-that-treats-side-effect-caused-by-antipsychotics/,4,Satisfactory,Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/facial-recognition-for-diagnosing-genetic-disorders-stat-leaves-too-many-questions-unanswered/,2,Not Satisfactory,Not Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/heart-failure-stem-cell-patch-healthday-cautions-readers-about-small-study-size/,3,Not Satisfactory,Not Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/walk-or-run-for-exercise-vox-provides-informative-look-at-risks-and-benefits-of-both/,5,Not Applicable,Not Satisfactory,Satisfactory
https://www.healthnewsreview.org/review/cnn-claims-aspirin-can-reduce-cancer-death-risk-falling-into-observational-study-trap/,2,Not Applicable,Not Satisfactory,Satisfactory
https://www.healthnewsreview.org/review/promising-new-lymphoma-treatment-gets-superficial-one-sided-coverage-by-cbs/,2,Not Satisfactory,Not Satisfactory,Satisfactory
https://www.healthnewsreview.org/review/big-gaps-in-reporting-plus-several-errors-mar-newsweeks-fluffy-look-at-magnets-for-depression/,2,Satisfactory,Not Satisfactory,Satisfactory
https://www.healthnewsreview.org/review/lack-of-independent-sources-weaken-nbcs-look-at-pricey-eczema-drug/,4,Satisfactory,Satisfactory,Satisfactory
https://www.healthnewsreview.org/review/throw-away-your-reading-glasses-informative-times-report-on-brain-training-for-vision-doesnt-quite-back-up-the-headline/,5,Satisfactory,Not Satisfactory,Not Applicable
https://www.healthnewsreview.org/review/nbc-calls-rodent-retina-research-game-changer-for-vision-loss-in-people/,3,Not Satisfactory,Not Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/vox-touts-simple-way-to-help-combat-opioid-epidemic-that-is-anything-but-simple/,2,Not Satisfactory,Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/cbs-news-speculates-about-what-at-home-sperm-checking-device-could-do/,2,Not Satisfactory,Not Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/online-counseling-for-high-blood-pressure-washington-post-wisely-includes-the-caveats/,4,Not Satisfactory,Satisfactory,Not Applicable
https://www.healthnewsreview.org/review/ny-timess-look-at-non-medical-heartburn-treatments-may-leave-readers-confused/,2,Not Applicable,Not Satisfactory,Satisfactory
https://www.healthnewsreview.org/review/dont-stop-your-statins-urges-new-york-times-blog-post-thats-only-four-short-paragraphs/,3,Not Satisfactory,Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/bloomberg-paints-rosy-picture-of-virtual-reality-for-ptsd-glossing-over-the-hard-evidence/,2,Not Satisfactory,Not Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/aps-evidence-free-story-on-baby-box-giveaway-suggests-company-had-an-inventive-marketing-success/,3,Satisfactory,Not Satisfactory,Not Applicable
https://www.healthnewsreview.org/review/reuters-health-lays-out-pros-and-cons-of-high-resolution-screening-for-heart-patients-omits-study-limitations/,2,Not Satisfactory,Not Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/times-pink-noise-sleep-machine-story-gives-too-rosy-account-of-benefits/,3,Not Satisfactory,Not Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/10-foods-to-eat/,4,Satisfactory,Satisfactory,Not Applicable
https://www.healthnewsreview.org/review/abc-news-misleads-readers-when-it-says-study-shows-high-intensity-exercise-could-be-secret-to-staying-young/,2,Not Applicable,Not Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/reuters-health-carefully-hedges-the-benefits-of-mild-shocks-to-the-arm-for-migraine-pain/,4,Not Satisfactory,Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/today-com-doesnt-oversell-findings-of-study-on-mris-for-early-autism-detection/,3,Not Satisfactory,Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/gene-therapy-fight-blood-cancer-succeeds-major-study/,3,Satisfactory,Satisfactory,Satisfactory
https://www.healthnewsreview.org/review/strong-overall-npr-story-on-naltrexone-for-alcohol-problems-needed-some-numbers-to-describe-benefits/,3,Not Satisfactory,Not Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/heavy-anecdote-light-evidence-nbc-newss-story-experimental-migraine-drug/,3,Satisfactory,Not Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/vitamins-delivered-via-iv-stat-wisely-asks-wheres-the-evidence/,5,Satisfactory,Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/a-microbiome-skin-lotion-tested-on-just-5-people-gets-little-scrutiny-by-ap/,3,Not Satisfactory,Not Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/philadelphia-inquirer-is-clear-about-the-underwhelming-benefits-of-testosterone-therapy-in-older-men/,5,Not Satisfactory,Satisfactory,Satisfactory
https://www.healthnewsreview.org/review/healthdays-look-at-stem-cells-for-aggressive-ms-is-upfront-about-death-risk/,3,Not Satisfactory,Satisfactory,Satisfactory
https://www.healthnewsreview.org/review/time-is-upfront-about-new-psoriasis-drugs-black-box-warning-for-suicidal-behavior-risk/,4,Satisfactory,Satisfactory,Satisfactory
https://www.healthnewsreview.org/review/in-story-on-vision-improving-headset-wsj-left-most-important-details-left-in-the-dark/,3,Satisfactory,Not Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/invasive-weed-kills-superbugs-know-might-work-mice/,2,Not Satisfactory,Not Satisfactory,Satisfactory
https://www.healthnewsreview.org/review/the-most-effective-intervention-we-have-ny-times-glosses-over-risks-of-bariatric-surgery/,3,Satisfactory,Not Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/in-story-on-experimental-blood-test-cnn-goes-where-few-dare-to-go-the-tests-sensitivity-and-specificity/,4,Not Satisfactory,Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/an-app-a-day-keeps-the-baby-away-buzzfeeds-look-at-natural-cycles-app-gets-a-gold-star/,5,Not Satisfactory,Satisfactory,Satisfactory
https://www.healthnewsreview.org/review/usa-today-story-on-diet-for-ibs-gives-readers-plenty-to-bite-on/,4,Not Satisfactory,Satisfactory,Satisfactory
https://www.healthnewsreview.org/review/ny-times-deftly-describes-findings-of-study-on-using-hormone-blockers-for-prostate-cancer-recurrence/,4,Not Satisfactory,Satisfactory,Satisfactory
https://www.healthnewsreview.org/review/stat-said-drug-halved-prostate-cancer-deaths-but-thats-not-the-full-picture/,3,Not Satisfactory,Not Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/journalism-or-marketing-reuters-promotes-results-of-drug-study-no-one-has-seen-yet/,3,Satisfactory,Not Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/can-a-breath-test-pick-up-stomach-cancers-healthday-story-has-notes-of-caution-but-also-veers-into-speculation/,2,Not Satisfactory,Not Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/reuters-health-provides-balanced-look-at-review-of-studies-on-alternative-remedies-for-premature-ejaculation/,4,Not Satisfactory,Satisfactory,Satisfactory
https://www.healthnewsreview.org/review/no-original-reporting-fox-news-story-rehashes-news-release-story-autism-fecal-transplants/,2,Not Satisfactory,Not Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/healthdays-story-on-ablation-for-atrial-fibrillation-wisely-cautious-but-needed-more-on-study-limitations/,3,Not Satisfactory,Satisfactory,Satisfactory
https://www.healthnewsreview.org/review/npr-story-on-kangaroo-care-for-newborns-left-us-feeling-fussy/,3,Not Applicable,Not Satisfactory,Satisfactory
https://www.healthnewsreview.org/review/philadelphia-inquirer-reports-clearly-on-obesity-treatments-but-skimps-on-research-details/,3,Not Satisfactory,Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/story-on-loosening-tonsillectomy-guidelines-is-less-cautious-than-the-studies-its-based-on/,3,Not Satisfactory,Not Satisfactory,Satisfactory
https://www.healthnewsreview.org/review/time-barely-dodges-observational-study-trap-with-hot-chili-pepper-story/,3,Not Applicable,Not Satisfactory,Satisfactory
https://www.healthnewsreview.org/review/coffee-might-slow-down-aging-thats-a-stretch/,1,Not Applicable,Not Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/guardians-look-at-weekend-warrior-study-why-no-mention-of-plentiful-study-limitations/,4,Not Applicable,Not Satisfactory,Satisfactory
https://www.healthnewsreview.org/review/newsweek-confuses-association-with-causation-in-weekend-warrior-exercise-story/,4,Not Applicable,Not Satisfactory,Satisfactory
https://www.healthnewsreview.org/review/reuters-health-succinctly-and-accurately-summarizes-study-looking-at-bystander-cpr-and-survivor-rates/,5,Not Applicable,Satisfactory,Not Applicable
https://www.healthnewsreview.org/review/medical-evidence-for-lumbar-support-runs-counter-to-claims-made-in-u-s-news-world-report-story/,3,Satisfactory,Not Satisfactory,Satisfactory
https://www.healthnewsreview.org/review/by-including-independent-viewpoints-stat-takes-a-more-measured-approach-to-coverage-of-brain-cancer-treatment/,4,Not Satisfactory,Not Satisfactory,Satisfactory
https://www.healthnewsreview.org/review/with-no-independent-sources-time-oversells-brain-cancer-treatment/,3,Not Satisfactory,Not Satisfactory,Satisfactory
https://www.healthnewsreview.org/review/bravo-new-york-times-using-absolute-risk-reduction-numbers-story-fish-oil-asthma/,4,Not Satisfactory,Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/experimental-heart-failure-drug-by-how-much-did-it-help-healthday-story-doesnt-say/,4,Not Satisfactory,Not Satisfactory,Satisfactory
https://www.healthnewsreview.org/review/healthday-story-on-antibiotics-for-ear-infections-is-less-informative-than-the-news-release/,1,Not Satisfactory,Not Satisfactory,Satisfactory
https://www.healthnewsreview.org/review/reuters-rehashes-news-release-in-story-on-deep-sea-laser-treatment-for-prostate-cancer/,1,Not Satisfactory,Not Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/vox-notes-limitations-of-meta-analysis-on-starting-school-later-albeit-not-until-end-of-story/,4,Satisfactory,Satisfactory,Satisfactory
https://www.healthnewsreview.org/review/melanoma-survivors-friends-can-help-spot-new-moles/,4,Not Applicable,Not Satisfactory,Not Applicable
https://www.healthnewsreview.org/review/off-the-mark-and-too-short-nyt-blog-post-on-older-kidney-donors/,2,Not Satisfactory,Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/nbcs-look-at-kangaroo-care-20-years-later-no-mention-of-important-research-limitations/,3,Not Satisfactory,Not Satisfactory,Satisfactory
https://www.healthnewsreview.org/review/anecdotes-outweigh-evidence-in-nprs-report-on-pets-and-severe-mental-illness/,3,Not Satisfactory,Not Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/solid-but-single-sourced-stats-coverage-of-alzheimers-drugs-needed-an-independent-voice/,4,Not Applicable,Not Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/optimism-and-longevity-absolute-rates-of-death-risk-would-have-improved-cbs-story/,3,Not Applicable,Not Satisfactory,Not Applicable
https://www.healthnewsreview.org/review/guardians-story-on-strobe-lights-mouse-research-on-alzheimers-again-finds-it-way-to-mainstream-audience/,2,Not Applicable,Not Satisfactory,Not Applicable
https://www.healthnewsreview.org/review/exercise-leads-to-better-sperm-time-story-doesnt-tell-us-by-how-much/,4,Not Applicable,Not Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/reuters-health-story-on-light-therapy-for-drivers-is-a-shining-example-of-solid-medical-writing/,5,Not Applicable,Satisfactory,Not Applicable
https://www.healthnewsreview.org/review/la-times-strikes-the-right-balance-by-reporting-evenly-on-both-harms-and-benefits-of-magic-mushrooms-for-cancer-patients/,4,Not Applicable,Not Satisfactory,Satisfactory
https://www.healthnewsreview.org/review/stats-roundup-of-allergy-treatment-research-needed-discussion-of-costs/,4,Not Satisfactory,Not Satisfactory,Satisfactory
https://www.healthnewsreview.org/review/ap-story-on-skin-patch-sweat-monitor-may-make-readers-wonder-news-or-marketing/,2,Not Satisfactory,Not Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/thorough-wsj-report-on-insomnia-treatments-would-have-benefited-from-cost-comparison/,4,Not Satisfactory,Not Satisfactory,Satisfactory
https://www.healthnewsreview.org/review/npr-story-says-older-patients-can-benefit-from-lung-cancer-surgery-but-study-didnt-show-that/,2,Not Satisfactory,Not Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/bloombergs-conflicted-sources-love-new-cholesterol-drugs-readers-need-to-know-about-financial-relationships-with-pharma/,3,Satisfactory,Not Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/thorough-and-well-done-ap-story-on-vivitrol-injections-for-inmates-with-opioid-use-disorder/,5,Satisfactory,Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/new-statin-guidelines-everyone-40-older-considered-drug-therapy/,3,Not Satisfactory,Not Satisfactory,Satisfactory
https://www.healthnewsreview.org/review/zinc-for-stomach-problems-philly-com-story-only-quoted-people-with-a-financial-stake-in-supplements/,3,Satisfactory,Not Satisfactory,Satisfactory
https://www.healthnewsreview.org/review/reuters-along-with-many-other-news-sites-parrots-erroneous-news-release-on-hiv-testing-via-usb-stick/,2,Not Satisfactory,Not Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/new-york-times-story-overstates-the-proven-benefits-of-controlled-breathing/,2,Not Applicable,Not Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/fast-track-treatment-for-hip-fractures-wsj-story-needed-some-figures-to-back-up-the-claims/,3,Not Satisfactory,Not Satisfactory,Not Satisfactory
